Filters,Filter
Sale,Sale
Stores,Stores
Overview,Übersicht
Details,Details
Size and Fit, Grösse und Passform
Material & Care, Material und Pflege
Proceed to Checkout,Weiter zur Kasse
Proceed to Cart,Weiter zum Warenkorb
Cart Subtotal,Gesamtbetrag
My Cart,Warenkorb
item,Artikel
items,Artikel
Choose Your Region,Region wählen
Denmark,Dänemark
Germany,Deutschland
Netherlands,Niederlande
Austria,Österreich
Poland,Polen
Sweden,Schweden
Switzerland,Schweiz
English,Englisch
German,Deutsch
Swiss Franc,Schweizer Franken
Swedish Crown,Schwedische Krone
Danish Crown,Dänische Krone
E-Mail Address,E-Mail-Adresse
more information,Weitere Informationen
Enable Cookies,Cookies aktivieren
Allow all Cookies,Alle Cookies akzeptieren
save,Speichern
About,Über uns
News,Neuigkeiten
"Incl. VAT, plus shipment","Inkl. MwSt., zzgl. Versand"
Close Window,Fenster schliessen
Cashmere Care,Kaschmir-Pflege
Lyocell Care,Lyocell-Pflege
Sizes Chart,Grössentabelle
Total,Summe
Edit Product,Artikel bearbeiten
Login,Login
I'm new here,Ich bin neu hier
Required Fields,Pflichtfelder
My Wishlist,Wunschliste
Default Billing Address,Rechnungsadresse
Additional Address Entries,Weitere Adressen
Additional Address,Weitere Adresse
Edit Address,Adresse anpassen
Delete Address,Adresse löschen
You aren't subscribed to our newsletter.,Sie sind nicht zu unserem Newsletter angemeldet.
Change Email and Password,E-Mail-Adresse und Passwort ändern
Newsletter Subscription,Newsletter-Abonnement
You are subscribed to our newsletter.,Sie sind zu unserem Newsletter angemeldet.
Change Subscription,Abonnement ändern
This is your default billing address.,Dies ist Ihre Standardrechnungsadresse.
This is your default shipping address.,Dies ist Ihre Standardversandadresse.
You are signed out,Sie sind abgemeldet
Shop without account,Ohne Account bestellen
Create New Account,Neuen Account erstellen
Proceed As Guest,Als Gast fortfahren
Forgotten Password?,Passwort vergessen?
Email address,E-Mail-Adresse
Number,Nummer
Addition to address,Adresszusatz
Date of birth,Geburtsdatum
Form of address,Anrede
Street and house number,Strasse und Hausnummer
Email address,E-Mail-Adresse
Create an account for later use,Einen Account erstellen
Ship to the same address,An die gleiche Adresse versenden
Ship to pick-up station,An eine Packstation versenden
Payment,Zahlung
Done!,Fertig!
Billing address,Rechnungsadresse
Order Items,Bestellte Artikel
Order Details,Bestelldetails
Place Order,Bestellung absenden
Ship Here,Diese Adresse verwenden
Mr.,Herr
Mrs.,Frau
Place Order,Bestellung aufgeben
Request New Return,Neue Rücksendung
There are no returns,Sie haben keine Rücksendungen
Return Order,Bestellung zurücksenden
Select Order,Bestellung auswählen
Submit Request,Anfrage absenden
Request Information,Daten zur Anfrage
Items in this order,Artikel in dieser Bestellung
Attach files,Dateien hinzufügen
Quantity to return,Menge
Out of Service,Funktioniert nicht
Don't like,Gefällt nicht
Wrong color,Falsche Farbe
Wrong size,Falsche Grösse
Other,Anderer Grund
Condition,Zustand
Unopened,Ungeöffnet
Open,Geöffnet
Damaged,Beschädigt
Resolution,Lösungswunsch
Exchange,Austausch
Refund,Erstattung
Store Credit,Gutschrift
Pending Approval,Bestätigung ausstehend
RMA items,Stornierte Artikel
Add Message,Nachricht hinzufügen
