Your %store_name order confirmation,Your %store_name order confirmation
Ihre Bestellung bei FTC Cashmere,Your order at FTC Cashmere
Liebe(r),Dear
"Vielen Dank für Ihre Bestellung bei FTC Cashmere. Sobald Ihre Sendung verschickt wurde, erhalten Sie eine Versandbestätigung per E-Mail. </p> Sie können den aktuellen Status Ihrer Bestellung jederzeit in Ihrem <a href=%account_url"">Benutzerkonto</a> einsehen.""","Thank you for placing your order at FTC Cashmere. As soon as your order has been shipped, you will receive a shipping confirmation by email. </p> You can check the current status of your order at any time in your  <a href=%account_url"">User account</a> ."""
"Your Order <span class=no-link"">#%increment_id</span>""","Your Order <span class=no-link"">#%increment_id</span>"""
"Placed on <span class=no-link"">%created_at</span>""","Placed on <span class=no-link"">%created_at</span>"""
Billing Info,Billing Info
Shipping Info,Shipping Info
Payment Method,Payment Method
Shipping Method,Shipping Method
Mit Ihrer Bestellung unterstützen Sie eine faire und nachhaltige Gewinnung und Produktion von Cashmere!,With your order you support a fair and sustainable harvest and manufacturing of cashmere.
"Vielen Dank, Ihr FTC Cashmere Team","Many thanks, Your FTC Cashmere Team"
"Vielen Dank für Ihre Bestellung bei FTC Cashmere. Sobald Ihre Sendung verschickt wurde, erhalten Sie eine Versandbestätigung per E-Mail.","Thank you for your order at FTC Cashmere. Once your shipment has been dispatched, you will receive a shipping confirmation by email."
Ihre Rechnung zur Bestellung #%increment_id,Your invoice for the order #%increment_id
"Wir freuen uns, dass Sie etwas Schönes gefunden haben – danke für Ihre Bestellung. Die Rechnung dazu finden Sie nachfolgend aufgeführt.",We are pleased that you have found something beautiful - thank you for your order. You can find the invoice here/below.
Ihre Rechnung #%invoice_id,Your Invoice #%invoice_id
Invoice for your %store_name order,Invoice for your %store_name order
Ihre Rechnung von FTC Cashmere,Your invoice from FTC Cashmere
"Wir freuen uns, dass Sie etwas Schönes gefunden haben – danke für Ihre Bestellung.",We are pleased that you have found something beautiful - thank you for your order. 
Your Invoice #%invoice_id for Order #%order_id,Your Invoice #%invoice_id for Order #%order_id
Information zu Ihrer Bestellung #%increment_id,Information about your order  #%increment_id
Sie haben folgende Nachricht bezüglich Ihrer Bestellung erhalten:,You have received the following message regarding your order:
Update to your %store_name invoice,Update to your %store_name invoice
Aktualisierung Ihrer Bestellung bei FTC Cashmere,Update of your order at FTC Cashmere
"Ihre Bestellung #%increment_id wurde aktualisiert mit dem Status <strong>%order_status</strong>. Sie können den aktuellen Status Ihrer Bestellung jederzeit in Ihrem <a href=%account_url"">Benutzerkonto</a> einsehen.""","Your order #%increment_id was updated with status <strong>%order_status</strong>. You can check the current status of your order at any time in your <a href=%account_url"">User account</a>."""
"Falls Sie Fragen oder Anregungen haben, kontaktieren Sie uns bitte per Mail oder Telefon unter <a href=mailto:%store_email"">%store_email</a>""","If you have any questions or suggestions, please contact us by email or phone at <a href=mailto:%store_email"">%store_email</a>"""
"oder <a href=tel:%store_phone"">%store_phone</a>""","or <a href=tel:%store_phone"">%store_phone</a>"""
Information zum Versand Ihrer Bestellung #%increment_id,Information about shipping of your order  #%increment_id
Update to your %store_name credit memo,Update to your %store_name credit memo
Kontakt,Contact
Kostenlose Servicetelefonnummer:,Free Hotline:
Informationen,Information
Über uns,About us
Allgemeine Geschäftsbedingungen,General terms and conditions
Stornierungsbedingungen,Cancellation Terms
Informationen zum Versand,Shipping information
Rückgabe,Return
Zahlungsmethoden,Payment methods
Datenschutz,Data Privacy
Haftungsausschluss,Disclaimer
Cashmere-Pflege,Cashmere Care
Philosophie,Philosophy
Ihre Bestellung #%order_id ist auf dem Weg,Your order #%order_id is on its way
Versandbestätigung zu Ihrer Bestellung #%order_id,Shipping Confirmation of your order #%order_id
Ihr Paket hat soeben unser Lager verlassen und ist auf dem Weg zu Ihnen. Mit der nachfolgenden und verlinkten Tracking-Nummer können Sie den Versand Ihrer Bestellung verfolgen. Es kann bis zu 24 Stunden dauern bis die Tracking-Informationen verfügbar sind.,Your package has just left our warehouse and is on its way to you. With the following and linked tracking number you can track the shipment of your order. It may take up to 24 hours before the tracking information is available.
"Sie können den aktuellen Status Ihrer Bestellung jederzeit in Ihrem <a href=%account_url"">Benutzerkonto</a> einsehen.""","You can check the current status of your order at any time in your <a href=%account_url"">user account</a>."""
Lieferadresse,Delivery address
Versandoption,Shipping option
Ihre Gutschrift zur Bestellung #%order_id,Your credit note for the order #%order_id
"Vielen Dank für Ihre Bestellung bei FTC Cashmere. Sie können den aktuellen Status Ihrer Bestellung jederzeit in Ihrem <a href=%account_url"">Benutzerkonto</a> einsehen.""","Thank you for your order at FTC Cashmere. You can check the current status of your order at any time in your <a href=%account_url"">user account</a>."""
Vielen Dank für Ihre Bestellung bei FTC Cashmere.,Thank you for placing your order at FTC Cashmere
Willkommen bei FTC Cashmere,Welcome to FTC Cashmere
Ihr Benutzerkonto bei FTC Cashmere,Your FTC Cashmere user account
"Liebe(r) %name,","Dear %name,"
Welcome to %store_name.,Welcome to %store_name.
"To sign in to our site, use these credentials during checkout or on the <a href=%customer_url"">My Account</a> page:""","To sign in to our site, use these credentials during checkout or on the <a href=%customer_url"">My Account</a> page:"""
Email:,Email:
Password:,Password:
Password you set when creating account,Password you set when creating account
"Forgot your account password? Click <a href=%reset_url"">here</a> to reset it.""","Forgot your account password? Click <a href=%reset_url"">here</a> to reset it."""
"To sign in to our site and set a password, click on the <a href=%create_password_url"">link</a>.""","To sign in to our site and set a password, click on the <a href=%create_password_url"">link</a>."""
Bitte bestätigen Sie Ihr FTC-Cashmere-Konto,Please confirm your FTC Cashmere account
You must confirm your %customer_email email before you can sign in (link is only valid once):,You must confirm your %customer_email email before you can sign in (link is only valid once):
Confirm Your Account,Confirm Your Account
Passwort für FTC Cashmere zurücksetzen,Reset password for FTC Cashmere
There was recently a request to change the password for your account.,There was recently a request to change the password for your account.
"If you requested this change, set a new password here:","If you requested this change, set a new password here:"
Set a New Password,Set a New Password
"If you did not make this request, you can ignore this email and your password will remain the same.","If you did not make this request, you can ignore this email and your password will remain the same."
Ihr Passwort bei FTC Cashmere wurde geändert,Your password at FTC Cashmere has been changed
Ihr Passwort bei FTC Cashmere,Your password at FTC Cashmere
We have received a request to change the following information associated with your account at %store_name: password.,We have received a request to change the following information associated with your account at %store_name: password.
"If you have not authorized this action, please contact us immediately at <a href=mailto:%store_email"">%store_email</a>""","If you have not authorized this action, please contact us immediately at <a href=mailto:%store_email"">%store_email</a>"""
"or call us at <a href=tel:%store_phone"">%store_phone</a>""","or call us at <a href=tel:%store_phone"">%store_phone</a>"""
"Thanks,<br>%store_name","Thanks,<br>%store_name"
Ihre E-Mail-Adresse bei FTC Cashmere wurde geändert,Your FTC Cashmere email address has been changed
Ihre E-Mail-Adresse bei FTC Cashmere,Your email address at FTC Cashmere
We have received a request to change the following information associated with your account at %store_name: email.,We have received a request to change the following information associated with your account at %store_name: email.
E-Mail-Adresse und Passwort bei FTC Cashmere geändert,Email address and password at FTC Cashmere has been changed
"We have received a request to change the following information associated with your account at %store_name: email, password.","We have received a request to change the following information associated with your account at %store_name: email, password."
Newsletter subscription confirmation,Newsletter subscription confirmation
Thank you for subscribing to our newsletter.,Thank you for subscribing to our newsletter.
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:"
Newsletter subscription success,Newsletter subscription success
You have been successfully subscribed to our newsletter.,You have been successfully subscribed to our newsletter.
Newsletter unsubscription success,Newsletter unsubscription success
You have been unsubscribed from the newsletter.,You have been unsubscribed from the newsletter.
Information zu Ihrer Rücksendung der Bestellung #%increment_id,Information about your return of order #%increment_id
Neue Rücksendung,New Return
You have been unsubscribed from the newsletter.,You have been unsubscribed from the newsletter.
Email address,Email address
Status,Status
Created,Created
Updated,Updated
Return,Return
Nachricht von FTC Cashmere,Message from FTC Cashmere
Zahlung fehlgeschlagen,Payment failed
Reason,Reason
Checkout Type,Checkout Type
Customer:,Customer:
Items,Items
Total:,Total:
Billing Address:,Billing Address:
Shipping Address:,Shipping Address:
Shipping Method:,Shipping Method:
Payment Method:,Payment Method:
Date & Time:,Date & Time:
Verfügbarkeitsbenachrichtigung von FTC Cashmere,Availability notification from FTC Cashmere
"Hello,","Hello,"
Thank you!,Thank you!
Status Ihrer Bestellung prüfen,Check your order status
Sie können den Status Ihrer Bestellung jederzeit unter dem nachfolgenden Link überprüfen oder uns eine Nachricht zukommen lassen:,You can check the status of your order at any time using the link below or send us a message:
Bestellübersicht,Order overview
"Bitte prüfen Sie die Angaben ggfs. nochmals, da Pakete mit falschen/unvollständigen Adressen wieder an uns retourniert werden.","Please check the details again if necessary, as parcels with incorrect/incomplete addresses will be returned to us."
Your Order #%increment_id,Your Order #%increment_id
Vielen Dank,Many thanks
Ihr FTC Cashmere Team,Your FTC Cashmere Team
Die nachfolgenden Artikel wurden Ihnen gutgeschrieben:,The following articles were credited to your account:
"Die Rückerstattung folgt automatisch auf die beim Kauf gewählte Zahlungsmethode. Sollten Sie auf Rechnung bestellt haben, so erfolgt eine entsprechende Rechnungskorrektur.","The refund will automatically follow the payment method chosen at the time of purchase. If you have ordered on account, a corresponding invoice correction will be made.  "
"Wir hoffen, Sie bald wieder in unserem Onlineshop begrüssen zu dürfen.",We hope to welcome you back to our online shop soon.
Ihre Größe ist wieder verfügbar – bestellen Sie jetzt!,Your size is available again – order now!
"Ein Artikel, der Ihnen gefällt, ist wieder in Ihrer Grösse verfügbar. Seien Sie schnell und bestellen Sie jetzt Ihren neuen FTC Cashmere Artikel.",An article that you like is available again in your size. Be quick and order now your new FTC Cashmere item.
Ihre Rücksendung zur Bestellung #%increment_id,Your return of order #%increment_id
Wir haben Ihren Rücksendeauftrag erhalten. Sie können nun die Ware verpacken und an uns zurücksenden.,We have received your return request. You can now pack the goods and send them back to us.
Hilfe und Kontakt,Help and Contact
Bestellung,Order
Zahlung,Payment
Versand und Lieferung,Shipping and Delivery
Rücksendung und Rückerstattung,Return and Refund
Widerrufsbelehrung,Cancellation Terms
Mein Kundenkonto,Customer account
Unsere Firmenphilosophie,Our company philosophy
Eigene Farm mit hohen Standards für den Tierschutz,Own farm with high animal welfare standards
Komplette Lieferkette im Besitz des Familienunternehmens,Complete supply chain owned by the family business 
Upcycling zur Minimuerung von Abfall,Upcycling to minimise waste
Soziale Verantwortung und Umweltschutz,Social responsibility and environmental protection
Finden Sie Inspiration:,Find inspiration
Impressum,Disclaimer
Der Online-Shop von FTC Cashmere wird betrieben durch:,The online shop of FTC Cashmere is operated by:
Cashmere World Shop GmbH,Cashmere World Shop GmbH
"Rather Strasse 49c, Rote Halle","Rather Strasse 49c, Rote Halle"
40476 Düsseldorf,40476 Düsseldorf
Deutschland,Deutschland
UMSATZSTEUER ID NUMMER,VAT ID NUMBER
Hinweis: Dies ist nicht die Rücksende-Adresse. Retouren werden hier nicht angenommen.,Note: this is not the return address. Returns are not accepted here. 
CASHMERE WORLD SHOP GMBH,CASHMERE WORLD SHOP GMBH
Versendete Artikel,Shippend articles
Bitte bestätigen Sie Ihre Anmeldung,Please confirm your registration
"Vielen Dank für Ihre Anmeldung. Um die Registrierung Ihres Kundenkontos erfolgreich abzuschliessen, klicken Sie bitte auf die Schaltfläche weiter unten.","Thank you for your registration. To complete your registration successfully, please click on the button below."
Kundenkonto-Anmeldung bestätigen,Confirm customer account registration
Erst nach dieser Bestätigung wird Ihr Kundenkonto aktiviert.,Your customer account will only be activated after this confirmation.
"Sollte Ihre E-Mail-Adresse ohne Ihr Wissen für ein FTC Cashmere Kundenkonto eingetragen worden sein, bitten wir Sie, diese E-Mail zu ignorieren.","If your e-mail address has been registered for a FTC Cashmere customer account without your knowledge, please ignore this email. "
"Datenschutz ist bei FTC Cashmere ein sehr wichtiges Thema. Für die Registrierung eines Kundenkontos verwenden wir das sogenannte Double-opt-in-Verfahren. Mit dem doppeltem Bestätigungsverfahren bestätigen Sie nochmals explizit Ihre Anmeldung, indem Sie die oben aufgeführte Schaltfläche anklicken. Wir möchten somit sicherstellen, dass Ihre E-Mail-Adresse nicht von Dritten eingetragen wurde.","Data protection is a very important issue at FTC Cashmere. For the registration of a customer account we use the so-called double-opt-in procedure. With the double-opt-in procedure, you explicitly confirm the registration again by clicking the button listed above. With this verification we want to ensure that your e-mail address has not been entered by third parties. "
Sie haben sich erfolgreich bei FTC Cashmere registriert.,You have successfully registered with FTC Cashmere. 
"Um sich in Ihrem Kundenkonto anzumelden, verwenden Sie bitte Ihre registrierten Anmeldedaten auf ""Mein Konto""- oder während des Check-Outs. Haben Sie Ihr Passwort vergessen, dann klicken Sie  <a href=""%reset_url"">hier</a>.","To log in to your account, please use your registered login details on ""My Account"" or during check-out. If you have forgotten your password, click <a href=""%reset_url"">here</a>."
Freuen Sie sich auf diese Vorteile:,Look forward to these advantages:
Schnellerer Bezahlvorgang,Faster payment process
