Your %store_name order confirmation,Ihre %store_name Bestellbestätigung
Ihre Bestellung bei FTC Cashmere,Ihre Bestellung bei FTC Cashmere
Liebe(r),Liebe(r)
"Vielen Dank für Ihre Bestellung bei FTC Cashmere. Sobald Ihre Sendung verschickt wurde, erhalten Sie eine Versandbestätigung per E-Mail. </p> Sie können den aktuellen Status Ihrer Bestellung jederzeit in Ihrem <a href=%account_url"">Benutzerkonto</a> einsehen.""","Vielen Dank für Ihre Bestellung bei FTC Cashmere. Sobald Ihre Sendung verschickt wurde, erhalten Sie eine Versandbestätigung per E-Mail. </p> Sie können den aktuellen Status Ihrer Bestellung jederzeit in Ihrem <a href=%account_url"">Benutzerkonto</a> einsehen."""
"Your Order <span class=no-link"">#%increment_id</span>""","Ihre Bestellung <span class=no-link"">#%increment_id</span>"""
"Placed on <span class=no-link"">%created_at</span>""","bestellt am <span class=no-link"">%created_at</span>"""
Billing Info,Rechnungsadresse
Shipping Info,Lieferadresse
Payment Method,Zahlungsart
Shipping Method,Versandoption
Mit Ihrer Bestellung unterstützen Sie eine faire und nachhaltige Gewinnung und Produktion von Cashmere!,Mit Ihrer Bestellung unterstützen Sie eine faire und nachhaltige Gewinnung und Produktion von Cashmere!
"Vielen Dank, Ihr FTC Cashmere Team","Vielen Dank, Ihr FTC Cashmere Team"
"Vielen Dank für Ihre Bestellung bei FTC Cashmere. Sobald Ihre Sendung verschickt wurde, erhalten Sie eine Versandbestätigung per E-Mail.","Vielen Dank für Ihre Bestellung bei FTC Cashmere. Sobald Ihre Sendung verschickt wurde, erhalten Sie eine Versandbestätigung per E-Mail."
Ihre Rechnung zur Bestellung #%increment_id,Ihre Rechnung zur Bestellung #%increment_id
"Wir freuen uns, dass Sie etwas Schönes gefunden haben – danke für Ihre Bestellung. Die Rechnung dazu finden Sie nachfolgend aufgeführt.","Wir freuen uns, dass Sie etwas Schönes gefunden haben – danke für Ihre Bestellung. Die Rechnung dazu finden Sie nachfolgend aufgeführt."
Ihre Rechnung #%invoice_id,Ihre Rechnung #%invoice_id
Invoice for your %store_name order,Rechnung für Ihre %store_name Bestellung
Ihre Rechnung von FTC Cashmere,Ihre Rechnung von FTC Cashmere
"Wir freuen uns, dass Sie etwas Schönes gefunden haben – danke für Ihre Bestellung.","Wir freuen uns, dass Sie etwas Schönes gefunden haben – danke für Ihre Bestellung."
Your Invoice #%invoice_id for Order #%order_id,Ihre Rechnung #%invoice_id für die Bestellung #%order_id
Information zu Ihrer Bestellung #%increment_id,Information zu Ihrer Bestellung #%increment_id
Sie haben folgende Nachricht bezüglich Ihrer Bestellung erhalten:,Sie haben folgende Nachricht bezüglich Ihrer Bestellung erhalten:
Update to your %store_name invoice,Aktualisierung Ihrer %store_name Rechnung
Aktualisierung Ihrer Bestellung bei FTC Cashmere,Aktualisierung Ihrer Bestellung bei FTC Cashmere
"Ihre Bestellung #%increment_id wurde aktualisiert mit dem Status <strong>%order_status</strong>. Sie können den aktuellen Status Ihrer Bestellung jederzeit in Ihrem <a href=%account_url"">Benutzerkonto</a> einsehen.""","Ihre Bestellung #%increment_id wurde aktualisiert mit dem Status <strong>%order_status</strong>. Sie können den aktuellen Status Ihrer Bestellung jederzeit in Ihrem <a href=%account_url"">Benutzerkonto</a> einsehen."""
"Falls Sie Fragen oder Anregungen haben, kontaktieren Sie uns bitte per Mail oder Telefon unter <a href=mailto:%store_email"">%store_email</a>""","Falls Sie Fragen oder Anregungen haben, kontaktieren Sie uns bitte per Mail oder Telefon unter <a href=mailto:%store_email"">%store_email</a>"""
"oder <a href=tel:%store_phone"">%store_phone</a>""","oder <a href=tel:%store_phone"">%store_phone</a>"""
Information zum Versand Ihrer Bestellung #%increment_id,Information zum Versand Ihrer Bestellung #%increment_id
Update to your %store_name credit memo,Aktualisierung Ihrer %store_name Gutschrift
Kontakt,Kontakt
Kostenlose Servicetelefonnummer:,Kostenlose Servicetelefonnummer:
Informationen,Informationen
Über uns,Über uns
Allgemeine Geschäftsbedingungen,Allgemeine Geschäftsbedingungen
